PERMNO,date,COMNAM,RET
10087,7/5/1987,BEAUTICONTROL COSMETICS INC,-0.027397
10087,8/5/1987,BEAUTICONTROL COSMETICS INC,-0.014085
10087,11/5/1987,BEAUTICONTROL COSMETICS INC,0
10087,12/5/1987,BEAUTICONTROL COSMETICS INC,-0.028571
10087,13-05-1987,BEAUTICONTROL COSMETICS INC,0.014706
10087,14-05-1987,BEAUTICONTROL COSMETICS INC,0
10087,15-05-1987,BEAUTICONTROL COSMETICS INC,0
10087,18-05-1987,BEAUTICONTROL COSMETICS INC,0.014493
10087,19-05-1987,BEAUTICONTROL COSMETICS INC,0.028571
10087,20-05-1987,BEAUTICONTROL COSMETICS INC,0
10087,21-05-1987,BEAUTICONTROL COSMETICS INC,0
10087,22-05-1987,BEAUTICONTROL COSMETICS INC,0
10087,26-05-1987,BEAUTICONTROL COSMETICS INC,0
10087,27-05-1987,BEAUTICONTROL COSMETICS INC,-0.027778
10087,28-05-1987,BEAUTICONTROL COSMETICS INC,-0.014286
10087,29-05-1987,BEAUTICONTROL COSMETICS INC,0
10087,1/6/1987,BEAUTICONTROL COSMETICS INC,-0.014493
10087,2/6/1987,BEAUTICONTROL COSMETICS INC,0
10087,3/6/1987,BEAUTICONTROL COSMETICS INC,0
10087,4/6/1987,BEAUTICONTROL COSMETICS INC,0.029412
10087,5/6/1987,BEAUTICONTROL COSMETICS INC,0.028571
10087,8/6/1987,BEAUTICONTROL COSMETICS INC,-0.013889
10087,9/6/1987,BEAUTICONTROL COSMETICS INC,-0.014085
10087,10/6/1987,BEAUTICONTROL COSMETICS INC,-0.028571
10087,11/6/1987,BEAUTICONTROL COSMETICS INC,0.014706
10087,12/6/1987,BEAUTICONTROL COSMETICS INC,0.014493
10087,15-06-1987,BEAUTICONTROL COSMETICS INC,-0.028571
10087,16-06-1987,BEAUTICONTROL COSMETICS INC,0.029412
10087,17-06-1987,BEAUTICONTROL COSMETICS INC,-0.014286
10087,18-06-1987,BEAUTICONTROL COSMETICS INC,0
10087,19-06-1987,BEAUTICONTROL COSMETICS INC,-0.014493
10087,22-06-1987,BEAUTICONTROL COSMETICS INC,-0.029412
10087,23-06-1987,BEAUTICONTROL COSMETICS INC,-0.015152
10087,24-06-1987,BEAUTICONTROL COSMETICS INC,-0.015385
10087,25-06-1987,BEAUTICONTROL COSMETICS INC,-0.015625
10087,26-06-1987,BEAUTICONTROL COSMETICS INC,0
10087,29-06-1987,BEAUTICONTROL COSMETICS INC,-0.047619
10087,30-06-1987,BEAUTICONTROL COSMETICS INC,0
10087,1/7/1987,BEAUTICONTROL COSMETICS INC,0
10087,2/7/1987,BEAUTICONTROL COSMETICS INC,0
10087,6/7/1987,BEAUTICONTROL COSMETICS INC,-0.033333
10087,7/7/1987,BEAUTICONTROL COSMETICS INC,0
10087,8/7/1987,BEAUTICONTROL COSMETICS INC,-0.017241
10087,9/7/1987,BEAUTICONTROL COSMETICS INC,0.035088
10087,10/7/1987,BEAUTICONTROL COSMETICS INC,0
10087,13-07-1987,BEAUTICONTROL COSMETICS INC,0
10087,14-07-1987,BEAUTICONTROL COSMETICS INC,-0.016949
10087,15-07-1987,BEAUTICONTROL COSMETICS INC,0.017241
10087,16-07-1987,BEAUTICONTROL COSMETICS INC,-0.016949
10087,17-07-1987,BEAUTICONTROL COSMETICS INC,0
10087,20-07-1987,BEAUTICONTROL COSMETICS INC,-0.068966
10087,21-07-1987,BEAUTICONTROL COSMETICS INC,0
10087,22-07-1987,BEAUTICONTROL COSMETICS INC,-0.018519
10087,23-07-1987,BEAUTICONTROL COSMETICS INC,0.018868
10087,24-07-1987,BEAUTICONTROL COSMETICS INC,0.055556
10087,27-07-1987,BEAUTICONTROL COSMETICS INC,0.035088
10087,28-07-1987,BEAUTICONTROL COSMETICS INC,0
10087,29-07-1987,BEAUTICONTROL COSMETICS INC,0.016949
10087,30-07-1987,BEAUTICONTROL COSMETICS INC,0.083333
10087,31-07-1987,BEAUTICONTROL COSMETICS INC,-0.030769
10087,3/8/1987,BEAUTICONTROL COSMETICS INC,-0.047619
10087,4/8/1987,BEAUTICONTROL COSMETICS INC,0
10087,5/8/1987,BEAUTICONTROL COSMETICS INC,0
10087,6/8/1987,BEAUTICONTROL COSMETICS INC,0
10087,7/8/1987,BEAUTICONTROL COSMETICS INC,0.05
10087,10/8/1987,BEAUTICONTROL COSMETICS INC,0.063492
10087,11/8/1987,BEAUTICONTROL COSMETICS INC,0.014925
10087,12/8/1987,BEAUTICONTROL COSMETICS INC,-0.029412
10087,13-08-1987,BEAUTICONTROL COSMETICS INC,0
10087,14-08-1987,BEAUTICONTROL COSMETICS INC,-0.015152
10087,17-08-1987,BEAUTICONTROL COSMETICS INC,0.030769
10087,18-08-1987,BEAUTICONTROL COSMETICS INC,0.014925
10087,19-08-1987,BEAUTICONTROL COSMETICS INC,-0.014706
10087,20-08-1987,BEAUTICONTROL COSMETICS INC,0.044776
10087,21-08-1987,BEAUTICONTROL COSMETICS INC,0
10087,24-08-1987,BEAUTICONTROL COSMETICS INC,-0.042857
10087,25-08-1987,BEAUTICONTROL COSMETICS INC,-0.029851
10087,26-08-1987,BEAUTICONTROL COSMETICS INC,0
10087,27-08-1987,BEAUTICONTROL COSMETICS INC,0
10087,28-08-1987,BEAUTICONTROL COSMETICS INC,-0.015385
10087,31-08-1987,BEAUTICONTROL COSMETICS INC,0.015625
10087,1/9/1987,BEAUTICONTROL COSMETICS INC,-0.015385
10087,2/9/1987,BEAUTICONTROL COSMETICS INC,-0.015625
10087,3/9/1987,BEAUTICONTROL COSMETICS INC,-0.015873
10087,4/9/1987,BEAUTICONTROL COSMETICS INC,-0.016129
10087,8/9/1987,BEAUTICONTROL COSMETICS INC,-0.04918
10087,9/9/1987,BEAUTICONTROL COSMETICS INC,-0.017241
10087,10/9/1987,BEAUTICONTROL COSMETICS INC,0.052632
10087,11/9/1987,BEAUTICONTROL COSMETICS INC,-0.033333
10087,14-09-1987,BEAUTICONTROL COSMETICS INC,0
10087,15-09-1987,BEAUTICONTROL COSMETICS INC,-0.017241
10087,16-09-1987,BEAUTICONTROL COSMETICS INC,-0.052632
10087,17-09-1987,BEAUTICONTROL COSMETICS INC,0
10087,18-09-1987,BEAUTICONTROL COSMETICS INC,0.018519
10087,21-09-1987,BEAUTICONTROL COSMETICS INC,-0.018182
10087,22-09-1987,BEAUTICONTROL COSMETICS INC,0.018519
10087,23-09-1987,BEAUTICONTROL COSMETICS INC,0.036364
10087,24-09-1987,BEAUTICONTROL COSMETICS INC,0.035088
10087,25-09-1987,BEAUTICONTROL COSMETICS INC,0
10087,28-09-1987,BEAUTICONTROL COSMETICS INC,0.033898
10087,29-09-1987,BEAUTICONTROL COSMETICS INC,0.081967
10087,30-09-1987,BEAUTICONTROL COSMETICS INC,-0.030303
10087,1/10/1987,BEAUTICONTROL COSMETICS INC,-0.015625
10087,2/10/1987,BEAUTICONTROL COSMETICS INC,0
10087,5/10/1987,BEAUTICONTROL COSMETICS INC,0.047619
10087,6/10/1987,BEAUTICONTROL COSMETICS INC,-0.060606
10087,7/10/1987,BEAUTICONTROL COSMETICS INC,0.016129
10087,8/10/1987,BEAUTICONTROL COSMETICS INC,-0.015873
10087,9/10/1987,BEAUTICONTROL COSMETICS INC,-0.032258
10087,12/10/1987,BEAUTICONTROL COSMETICS INC,-0.033333
10087,13-10-1987,BEAUTICONTROL COSMETICS INC,0.034483
10087,14-10-1987,BEAUTICONTROL COSMETICS INC,-0.033333
10087,15-10-1987,BEAUTICONTROL COSMETICS INC,-0.034483
10087,16-10-1987,BEAUTICONTROL COSMETICS INC,-0.017857
10087,19-10-1987,BEAUTICONTROL COSMETICS INC,-0.109091
10087,20-10-1987,BEAUTICONTROL COSMETICS INC,-0.102041
