,numbers,dollars
1301,18.0,12.0
1302,43.0,1.0
1303,2.0,0.0
1304,0.0,0.0
1305,2.0,0.0
1306,1.0,0.0
1307,1.0,0.0
1308,5.0,1.0
1309,10.0,4.0
1310,6.0,2.0
1311,9.0,5.0
1312,8.0,5.0
1313,6.0,2.0
1314,13.0,3.0
1315,14.0,3.0
1316,9.0,1.0
1317,7.0,3.0
1318,11.0,5.0
1319,19.0,7.0
1320,5.0,0.0
1321,2.0,2.0
1322,6.0,1.0
1323,7.0,0.0
1324,9.0,3.0
1325,22.0,5.0
1326,16.0,10.0
1327,0.0,0.0
1328,21.0,7.0
1329,22.0,16.0
1330,8.0,3.0
1331,0.0,0.0
1332,18.0,7.0
1333,10.0,3.0
1334,15.0,2.0
1335,22.0,10.0
1336,,
1337,3.0,2.0
1338,3.0,1.0
1339,23.0,7.0
1340,23.0,7.0
1341,11.0,7.0
1342,22.0,17.0
1343,10.0,3.0
1344,22.0,18.0
1345,8.0,0.0
1346,12.0,2.0
1347,2.0,0.0
1348,16.0,3.0
1349,18.0,7.0
1350,0.0,0.0
1351,10.0,6.0
1352,1.0,1.0
1353,4.0,0.0
1354,0.0,0.0
1355,12.0,0.0
1356,2.0,0.0
1357,17.0,2.0
1358,4.0,0.0
1359,7.0,0.0
1360,1.0,1.0
1361,13.0,10.0
1362,20.0,14.0
1363,8.0,8.0
1364,7.0,3.0
1365,6.0,6.0
1366,6.0,4.0
1367,2.0,0.0
1368,3.0,0.0
1369,8.0,8.0
1370,,
1371,14.0,3.0
1372,0.0,0.0
1373,0.0,0.0
1374,102.0,20.0
1375,2.0,1.0
1376,6.0,0.0
1377,14.0,4.0
1378,0.0,0.0
1379,8.0,4.0
1380,,
1381,1.0,0.0
1382,3.0,1.0
1383,4.0,1.0
1384,2.0,0.0
1385,2.0,1.0
1386,0.0,0.0
1387,1.0,0.0
1388,1.0,0.0
1389,0.0,0.0
1390,25.0,1.0
1391,0.0,0.0
1392,31.0,18.0
1393,2.0,1.0
1394,3.0,0.0
1395,0.0,0.0
1396,,
1397,1.0,0.0
1398,2.0,0.0
1399,1.0,0.0
1400,17.0,0.0
1401,0.0,0.0
1402,16.0,2.0
1403,8.0,0.0
1404,1.0,0.0
1405,3.0,0.0
1406,,
1407,9.0,0.0
1408,1.0,0.0
1409,0.0,0.0
1410,18.0,0.0
1411,,
1412,,
1413,8.0,0.0
1414,4.0,1.0
1415,0.0,0.0
1416,0.0,0.0
1417,2.0,0.0
1418,1.0,1.0
1419,1.0,1.0
1420,0.0,0.0
1421,2.0,0.0
1422,0.0,0.0
1423,0.0,0.0
1424,0.0,0.0
1425,,
1426,2.0,0.0
1427,5.0,1.0
1428,29.0,22.0
1429,,
1430,0.0,0.0
1431,0.0,0.0
1432,2.0,0.0
1433,,
1434,6.0,1.0
1435,3.0,2.0
1436,16.0,3.0
1437,0.0,0.0
1438,4.0,1.0
1439,5.0,0.0
1440,0.0,0.0
1441,0.0,0.0
1442,18.0,1.0
1443,2.0,1.0
1444,15.0,1.0
1445,0.0,0.0
1446,5.0,0.0
1447,,
1448,0.0,0.0
1449,11.0,0.0
1450,2.0,0.0
1451,0.0,0.0
1452,0.0,0.0
1453,0.0,0.0
1454,0.0,0.0
1455,1.0,0.0
1456,13.0,6.0
1457,3.0,0.0
1458,0.0,0.0
1459,3.0,0.0
1460,8.0,2.0
1461,0.0,0.0
1462,11.0,1.0
1463,,
1464,11.0,4.0
1465,4.0,2.0
1466,24.0,0.0
1467,10.0,0.0
1468,1.0,0.0
1469,1.0,0.0
1470,25.0,1.0
1471,1.0,0.0
1472,0.0,0.0
1473,,
1474,6.0,2.0
1475,15.0,1.0
1476,6.0,2.0
1477,3.0,0.0
1478,,
1479,4.0,0.0
1480,6.0,0.0
1481,2.0,2.0
1482,0.0,0.0
1483,2.0,2.0
1484,1.0,0.0
1485,0.0,0.0
1486,94.0,19.0
1487,,
1488,9.0,5.0
1489,3.0,0.0
